protein-name,intent-group,available,Plasmid Name,Gene or insert Name,Alternative Gene/Insert Name 1,Entrez Gene ID,Additional Species of gene or insert,Relevant Mutations,N-terminal Tag,C-terminal Tag,Backbone Name,Bacterial Resistance,Selectable Marker,high or low copy,description,design-description
nsp6,Yeast expression,true,pGBW-m4046177,nsp6,,YP_009725302.1,Saccharomyces cerevisiae,wt,,Cleavable thrombin;MBP,AmpR; 2u URA3,ampicillin,uracil,high,Yeast expression of SARS-CoV-2 proteins,P141 covid19 protein expression and purification designs
nsp6,Yeast expression,true,pGBW-m4046199,nsp6,,YP_009725302.1,Saccharomyces cerevisiae,wt,,Cleavable thrombin;StrepII,AmpR; 2u URA3,ampicillin,uracil,high,Yeast expression of SARS-CoV-2 proteins,P141 covid19 protein expression and purification designs
nsp6,Yeast expression,true,pGBW-m4046207,nsp6,,YP_009725302.1,Saccharomyces cerevisiae,wt,,Cleavable thrombin;6xHIS,AmpR; 2u URA3,ampicillin,uracil,high,Yeast expression of SARS-CoV-2 proteins,P141 covid19 protein expression and purification designs
nsp6,Yeast expression,false,pGBW-m4046274,nsp6,,YP_009725302.1,Saccharomyces cerevisiae,wt,,Cleavable thrombin;MBP,AmpR; 2u URA3,ampicillin,uracil,high,Yeast expression of SARS-CoV-2 proteins,P141 covid19 protein expression and purification designs
nsp6,Yeast expression,true,pGBW-m4046312,nsp6,,YP_009725302.1,Saccharomyces cerevisiae,wt,,Cleavable thrombin;StrepII,AmpR; 2u URA3,ampicillin,uracil,high,Yeast expression of SARS-CoV-2 proteins,P141 covid19 protein expression and purification designs
nsp6,Yeast expression,true,pGBW-m4046341,nsp6,,YP_009725302.1,Saccharomyces cerevisiae,wt,,Cleavable thrombin;MBP,AmpR; 2u URA3,ampicillin,uracil,high,Yeast expression of SARS-CoV-2 proteins,P141 covid19 protein expression and purification designs
nsp6,Yeast expression,true,pGBW-m4046348,nsp6,,YP_009725302.1,Saccharomyces cerevisiae,wt,,Cleavable thrombin;3xFLAG,AmpR; 2u URA3,ampicillin,uracil,high,Yeast expression of SARS-CoV-2 proteins,P141 covid19 protein expression and purification designs
nsp6,Yeast expression,true,pGBW-m4046360,nsp6,,YP_009725302.1,Saccharomyces cerevisiae,wt,,Cleavable thrombin;3xFLAG,AmpR; 2u URA3,ampicillin,uracil,high,Yeast expression of SARS-CoV-2 proteins,P141 covid19 protein expression and purification designs
nsp6,Yeast expression,true,pGBW-m4046451,nsp6,,YP_009725302.1,Saccharomyces cerevisiae,wt,,Cleavable thrombin;6xHIS,AmpR; 2u URA3,ampicillin,uracil,high,Yeast expression of SARS-CoV-2 proteins,P141 covid19 protein expression and purification designs
nsp6,Yeast expression,true,pGBW-m4046466,nsp6,,YP_009725302.1,Saccharomyces cerevisiae,wt,,Cleavable thrombin;StrepII,AmpR; 2u URA3,ampicillin,uracil,high,Yeast expression of SARS-CoV-2 proteins,P141 covid19 protein expression and purification designs
nsp6,Yeast expression,true,pGBW-m4046474,nsp6,,YP_009725302.1,Saccharomyces cerevisiae,wt,,Cleavable thrombin;6xHIS,AmpR; 2u URA3,ampicillin,uracil,high,Yeast expression of SARS-CoV-2 proteins,P141 covid19 protein expression and purification designs
